assetName,name,editionTier,rarityScore,Background,Serpent Form,Material,Eyes,Head Trait,Aura,Cardano Lore
FFEC0001,Eternal Coil #0001,Uncommon,29,Ouroboros Eclipse,Double Loop Coil,Cardano Blue Scales,Golden Oracle Eyes,Small Horns,Neon Edge,Shelley
FFEC0002,Eternal Coil #0002,Common,21,Starfield Minimal,Double Loop Coil,Lava Scales,Blue ADA Eyes,None,Glitch Field,Babel Fees
FFEC0003,Eternal Coil #0003,Common,31,Fractal Grid,Hydra Twin Coil,Matte Scales,Blue ADA Eyes,Mushroom Crown,ADA Rune Orbit,CIP-68 Relic
FFEC0004,Eternal Coil #0004,Common,14,Epoch Dawn Gradient,Spiral Coil,Cardano Blue Scales,Spiral Eyes,Cardano Cap,Star Dust,Hydra
FFEC0005,Eternal Coil #0005,Common,16,Starfield Minimal,Hydra Twin Coil,Emerald Scales,Glitch Eyes,None,Neon Edge,Goguen
FFEC0006,Eternal Coil #0006,Common,10,Deep Space Black,Crescent Coil,Fractal Skin,Amber Eyes,Crystal Horns,Smoke Wisps,Catalyst
FFEC0007,Eternal Coil #0007,Epic,34,Midnight Privacy Fog,Winged Coil,Neon Rim Scales,Laser Eyes,Crystal Horns,Neon Edge,CIP-25 Relic
FFEC0008,Eternal Coil #0008,Epic,47,Hydra Gate,Classic Ouroboros Coil,Blacklight Velvet,Golden Oracle Eyes,Catalyst Laurel,Particle Ring,Mithril
FFEC0009,Eternal Coil #0009,Common,17,Julia Rift,Crescent Coil,Matte Scales,Star Pupil,Space Helmet Ring,Glitch Field,Shelley
FFEC0010,Eternal Coil #0010,Uncommon,16,Catalyst Constellation,Double Loop Coil,Opal Scales,Blue ADA Eyes,None,None / Clean,Plutus
FFEC0011,Eternal Coil #0011,Rare,20,Epoch Dawn Gradient,Spiral Coil,Cardano Blue Scales,Midnight Mask Eyes,None,Smoke Wisps,Shelley
FFEC0012,Eternal Coil #0012,Common,12,Nebula Violet,Crescent Coil,Opal Scales,Calm Glow,Catalyst Laurel,None / Clean,Epoch
FFEC0013,Eternal Coil #0013,Common,10,Starfield Minimal,Serpent Knot,Cardano Blue Scales,Blue ADA Eyes,Cardano Cap,Star Dust,Epoch
FFEC0014,Eternal Coil #0014,Common,17,Deep Space Black,Spiral Coil,Holographic,Blue ADA Eyes,Cardano Cap,Soft Glow,Slot
FFEC0015,Eternal Coil #0015,Common,17,Ouroboros Eclipse,Classic Ouroboros Coil,Cardano Blue Scales,Blue ADA Eyes,Space Helmet Ring,Glitch Field,Slot
FFEC0016,Eternal Coil #0016,Common,29,Midnight Privacy Fog,Serpent Knot,Matte Scales,Violet Eyes,Voltaire Halo,Prism Explosion,Midnight
FFEC0017,Eternal Coil #0017,Common,15,Cardano Midnight Blue,Hydra Twin Coil,Matte Scales,Calm Glow,Cardano Cap,Lightning Coil,Catalyst
FFEC0018,Eternal Coil #0018,Common,18,Julia Rift,Double Loop Coil,Matte Scales,Third Eye,Serpent Crown,None / Clean,Goguen
FFEC0019,Eternal Coil #0019,Uncommon,28,Deep Space Black,Double Loop Coil,Gold Scales,Calm Glow,Fractal Crest,Particle Ring,Midnight
FFEC0020,Eternal Coil #0020,Common,11,Starfield Minimal,Serpent Knot,Cardano Blue Scales,Amber Eyes,Mushroom Crown,None / Clean,Voltaire
FFEC0021,Eternal Coil #0021,Uncommon,12,Cardano Midnight Blue,Classic Ouroboros Coil,Cardano Blue Scales,Violet Eyes,Small Horns,ADA Rune Orbit,Catalyst
FFEC0022,Eternal Coil #0022,Common,11,Deep Space Black,Classic Ouroboros Coil,Fractal Skin,Spiral Eyes,Crystal Horns,Soft Glow,Catalyst
FFEC0023,Eternal Coil #0023,Uncommon,16,Nebula Violet,Hydra Twin Coil,Emerald Scales,Laser Eyes,None,Soft Glow,Goguen
FFEC0024,Eternal Coil #0024,Common,12,Deep Space Black,Classic Ouroboros Coil,Fractal Skin,Violet Eyes,Cardano Cap,Particle Ring,Voltaire
FFEC0025,Eternal Coil #0025,Common,18,Julia Rift,Hydra Twin Coil,Glass Prism,Violet Eyes,Cardano Cap,Fractal Bloom,Voltaire
FFEC0026,Eternal Coil #0026 - Ouroboros Maxima,1/1 Ultra,512,One-of-One Scene,Ouroboros 1/1 Body,One-of-One Material,One-of-One Eyes,One-of-One Headpiece,Animated Aura Placeholder,One-of-One Lore
FFEC0027,Eternal Coil #0027,Common,30,Ouroboros Eclipse,Dragon Coil,Holographic,Laser Eyes,Mushroom Crown,Soft Glow,CIP-25 Relic
FFEC0028,Eternal Coil #0028,Uncommon,12,Julia Rift,Classic Ouroboros Coil,Violet Scales,Blue ADA Eyes,Crystal Horns,Particle Ring,Catalyst
FFEC0029,Eternal Coil #0029,Common,18,Cardano Midnight Blue,Classic Ouroboros Coil,Emerald Scales,Calm Glow,Voltaire Halo,Smoke Wisps,Mithril
FFEC0030,Eternal Coil #0030,Uncommon,22,Nebula Violet,Dragon Coil,Blacklight Velvet,Amber Eyes,Catalyst Laurel,Neon Edge,Goguen
FFEC0031,Eternal Coil #0031,Common,14,Fractal Grid,Spiral Coil,Lava Scales,Violet Eyes,None,None / Clean,Shelley
FFEC0032,Eternal Coil #0032,Common,16,Catalyst Constellation,Spiral Coil,Matte Scales,Third Eye,None,Glitch Field,Epoch
FFEC0033,Eternal Coil #0033,Common,18,Julia Rift,Double Loop Coil,Emerald Scales,Third Eye,None,Neon Edge,Ouroboros Prime
FFEC0034,Eternal Coil #0034,Common,14,Deep Space Black,Winged Coil,Fractal Skin,Calm Glow,Fractal Crest,Particle Ring,Voltaire
FFEC0035,Eternal Coil #0035,Common,17,Epoch Dawn Gradient,Skeleton Coil,Cardano Blue Scales,Laser Eyes,Small Horns,Glitch Field,Epoch
FFEC0036,Eternal Coil #0036,Uncommon,13,Epoch Dawn Gradient,Classic Ouroboros Coil,Violet Scales,Calm Glow,Crystal Horns,None / Clean,Hydra
FFEC0037,Eternal Coil #0037,Rare,32,Quantum ADA Storm,Hydra Twin Coil,Blacklight Velvet,Glitch Eyes,Mushroom Crown,Star Dust,Epoch
FFEC0038,Eternal Coil #0038,Common,14,Epoch Dawn Gradient,Hydra Twin Coil,Violet Scales,Star Pupil,Crystal Horns,Smoke Wisps,Goguen
FFEC0039,Eternal Coil #0039,Epic,24,Catalyst Constellation,Crescent Coil,Neon Rim Scales,Void Eyes,None,Neon Edge,Goguen
FFEC0040,Eternal Coil #0040,Common,37,Ouroboros Eclipse,Classic Ouroboros Coil,Chrome Scales,Golden Oracle Eyes,Crystal Horns,Prism Explosion,Slot
FFEC0041,Eternal Coil #0041,Rare,26,Julia Rift,Classic Ouroboros Coil,Lava Scales,Void Eyes,Cardano Cap,Prism Explosion,Epoch
FFEC0042,Eternal Coil #0042,Rare,27,Quantum ADA Storm,Double Loop Coil,Violet Scales,Solar Eclipse Eyes,Crystal Horns,Neon Edge,Catalyst
FFEC0043,Eternal Coil #0043,Common,18,Voltaire Parliament,Crescent Coil,Fractal Skin,Blue ADA Eyes,Small Horns,Neon Edge,Shelley
FFEC0044,Eternal Coil #0044,Common,28,Ouroboros Eclipse,Classic Ouroboros Coil,Fractal Skin,Spiral Eyes,Eclipse Halo,None / Clean,Catalyst
FFEC0045,Eternal Coil #0045,Common,12,Epoch Dawn Gradient,Serpent Knot,Violet Scales,Spiral Eyes,Crystal Horns,Soft Glow,Goguen
FFEC0046,Eternal Coil #0046,Common,16,Nebula Violet,Classic Ouroboros Coil,Violet Scales,Third Eye,Small Horns,Soft Glow,Babel Fees
FFEC0047,Eternal Coil #0047,Uncommon,16,Epoch Dawn Gradient,Classic Ouroboros Coil,Matte Scales,Void Eyes,Mushroom Crown,None / Clean,Midnight
FFEC0048,Eternal Coil #0048,Epic,20,Fractal Grid,Classic Ouroboros Coil,Violet Scales,Laser Eyes,Fractal Crest,Particle Ring,Epoch
FFEC0049,Eternal Coil #0049,Common,16,Fractal Grid,Double Loop Coil,Lava Scales,Calm Glow,Cardano Cap,Soft Glow,Plutus
